,Sl. No.,Candidate Name,State,Constituency,Gender,Age,Party,Total Electors,Turn Out(%),Candidate Votes(%),Count Of Votes
0,292,Tapir Gao ,Arunachal Pradesh,Arunachal East,M,42,BJP,289606.0,56.41,51.01,83333
1,293,Wangcha Rajkumar ,Arunachal Pradesh,Arunachal East,M,37,INC,289606.0,56.41,23.47,38342
2,294,Tony Pertin ,Arunachal Pradesh,Arunachal East,M,36,IND,289606.0,56.41,10.41,17006
3,295,Matwang Chimyang ,Arunachal Pradesh,Arunachal East,M,39,IND,289606.0,56.41,10.08,16467
4,296,Ogong Tamuk ,Arunachal Pradesh,Arunachal East,M,47,IND,289606.0,56.41,3.21,5244
5,297,Onom Taknyo ,Arunachal Pradesh,Arunachal East,M,39,IND,289606.0,56.41,1.81,2956
6,298,Khiren Rijiju ,Arunachal Pradesh,Arunachal West,M,32,BJP,394413.0,56.17,55.95,123952
7,299,Kamen Ringu ,Arunachal Pradesh,Arunachal West,M,51,AC,394413.0,56.17,34.54,76520
8,300,Tadar Taniang ,Arunachal Pradesh,Arunachal West,M,51,AITC,394413.0,56.17,2.82,6247
9,301,Kardu Taipodia ,Arunachal Pradesh,Arunachal West,M,54,SP,394413.0,56.17,2.21,4896
10,302,Kido Ingo ,Arunachal Pradesh,Arunachal West,M,33,SAP,394413.0,56.17,2.21,4896
11,303,Jodik Tali ,Arunachal Pradesh,Arunachal West,M,26,IND,394413.0,56.17,1.41,3123
12,304,Tujo Bagra ,Arunachal Pradesh,Arunachal West,M,35,IND,394413.0,56.17,0.86,1905
13,392,Narayan Chandra Borkataky ,Assam,Mangaldoi,M,61,BJP,1209839.0,70.17,40.74,345859
14,393,Madhab Rajbangshi ,Assam,Mangaldoi,M,57,INC,1209839.0,70.17,37.22,315976
15,394,Apurba Bhattacharjee ,Assam,Mangaldoi,M,40,AGP,1209839.0,70.17,17.21,146103
16,395,Bhupendra Nath Kakati ,Assam,Mangaldoi,M,57,IND,1209839.0,70.17,1.77,15026
17,396,Shaheda Begum ,Assam,Mangaldoi,F,40,SAP,1209839.0,70.17,1.28,10866
18,397,Aroon Baruah ,Assam,Mangaldoi,M,55,IND,1209839.0,70.17,0.97,8234
