,Sl. No.,Candidate Name,State,Constituency,Gender,Age,Party,Total Electors,Turn Out(%),Candidate Votes(%),Count Of Votes
19,398,Tridip Pati Singha ,Assam,Mangaldoi,M,37,IND,1209839.0,70.17,0.81,6876
20,399,Rajen Gohain ,Assam,Nowgong,M,51,BJP,1149244.0,68.4,43.6,342732
21,400,Bisnu Prasad ,Assam,Nowgong,M,60,INC,1149244.0,68.4,39.6,311288
22,401,Dhruba Kumar Saikia ,Assam,Nowgong,M,57,AGP,1149244.0,68.4,13.27,104313
23,402,Bhupen Chandra Mudoi ,Assam,Nowgong,M,50,RPI,1149244.0,68.4,1.47,11555
24,403,Biren Chandra Das ,Assam,Nowgong,M,48,SAP,1149244.0,68.4,1.35,10612
25,404,Haji Abdur Rouf ,Assam,Nowgong,M,59,UMFA,1149244.0,68.4,0.71,5581
26,421,Sukdeo Paswan ,Bihar,Araria,M,51,BJP,1184959.0,55.06,33.21,216674
27,422,Ramji Das Rishideo ,Bihar,Araria,M,46,SP,1184959.0,55.06,28.96,188946
28,423,Ram Sewak Hazari ,Bihar,Araria,M,59,LJNSP,1184959.0,55.06,26.59,173483
29,424,Narayan Kumar Ram ,Bihar,Araria,M,43,BSP,1184959.0,55.06,2.65,17289
30,425,Satya Narayan Writer ,Bihar,Araria,M,30,IND,1184959.0,55.06,1.83,11939
31,426,Nand Lal Paswan ,Bihar,Araria,M,42,IND,1184959.0,55.06,1.23,8024
32,427,Arun Kumar Rajak ,Bihar,Araria,M,36,IJP,1184959.0,55.06,1.21,7894
33,428,Daya Chand Kataria ,Bihar,Araria,M,37,IND,1184959.0,55.06,0.96,6263
34,429,Pushpa Nand Rishideo ,Bihar,Araria,M,36,IND,1184959.0,55.06,0.93,6067
35,430,Rajdhar Paswan ,Bihar,Araria,M,39,SHS,1184959.0,55.06,0.74,4828
36,431,Lalu Paswan ,Bihar,Araria,M,64,IND,1184959.0,55.06,0.71,4632
37,432,Om Prakash Paswan ,Bihar,Araria,M,25,AD,1184959.0,55.06,0.52,3392
38,433,Jagdeo Ram ,Bihar,Araria,M,47,SAP,1184959.0,55.06,0.45,2935
39,522,Sushil Kumar Modi ,Bihar,Bhagalpur,M,51,BJP,1388037.0,54.56,45.58,345183
40,523,Subodh Ray ,Bihar,Bhagalpur,M,62,CPI (M),1388037.0,54.56,30.01,227269
41,524,Prawez Khan ,Bihar,Bhagalpur,M,33,BSP,1388037.0,54.56,17.17,130030
42,525,Chunchun Pra Yadav ,Bihar,Bhagalpur,M,69,SP,1388037.0,54.56,1.75,13252
43,526,Sunil Choudhary ,Bihar,Bhagalpur,M,32,IND,1388037.0,54.56,1.61,12192
44,527,Ashok Ray ,Bihar,Bhagalpur,M,31,PTSS,1388037.0,54.56,1.15,8709
45,528,Diwakar Lal Vanshi ,Bihar,Bhagalpur,M,40,IND,1388037.0,54.56,0.92,6967
46,529,Naresh Prasad Yadav ,Bihar,Bhagalpur,M,53,IND,1388037.0,54.56,0.84,6361
47,530,"Nagarmal Bajoria ""Dhartipakar"" ",Bihar,Bhagalpur,M,63,ABHM,1388037.0,54.56,0.51,3862
48,531,Akhil Bharatiya Sharma ,Bihar,Bhagalpur,M,40,IND,1388037.0,54.56,0.45,3407
49,548,Lalmuni Chaubey ,Bihar,Buxar,M,66,BJP,1222441.0,53.1,31.73,205964
50,549,Dadan Singh ,Bihar,Buxar,M,40,IND,1222441.0,53.1,23.28,151114
51,550,Shivanand Tiwary ,Bihar,Buxar,M,60,RJD,1222441.0,53.1,20.56,133458
52,551,Shiv Kumar Singh Kushwaha ,Bihar,Buxar,M,44,BSP,1222441.0,53.1,11.6,75297
53,552,Shushila Devi ,Bihar,Buxar,F,35,CPI(ML)(L),1222441.0,53.1,5.05,32780
54,553,Ram Ekbal Chaudhari ,Bihar,Buxar,M,33,SBSP,1222441.0,53.1,2.56,16617
55,554,Tej Narayan Singh ,Bihar,Buxar,M,59,CPI,1222441.0,53.1,1.8,11684
56,555,Ranjit Singh ,Bihar,Buxar,M,56,SP,1222441.0,53.1,1.6,10385
57,556,Satendra Singh ,Bihar,Buxar,M,47,IND,1222441.0,53.1,1.05,6815
58,557,Bisheshwar Pandey ,Bihar,Buxar,M,39,IND,1222441.0,53.1,0.46,2985
59,558,Lalsa Devi ,Bihar,Buxar,F,37,IND,1222441.0,53.1,0.31,2012
60,628,Nikhil Kumar Choudhary ,Bihar,Katihar,M,61,BJP,1158042.0,60.83,41.01,288889
61,629,Shah Tariq Anwar ,Bihar,Katihar,M,54,NCP,1158042.0,60.83,40.65,286353
62,630,Mubarak Hussain ,Bihar,Katihar,M,54,SP,1158042.0,60.83,5.34,37616
63,631,Radha Uraon ,Bihar,Katihar,M,50,JDP,1158042.0,60.83,3.35,23598
64,632,Quddus Ali ,Bihar,Katihar,M,43,CPI(ML)(L),1158042.0,60.83,2.78,19583
65,633,Shiv Nandan Mandal ,Bihar,Katihar,M,70,BSP,1158042.0,60.83,2.08,14652
66,634,Sovran Rajak ,Bihar,Katihar,M,56,IND,1158042.0,60.83,1.96,13806
67,635,Pradeep Kumar Sharma ,Bihar,Katihar,M,43,IND,1158042.0,60.83,0.75,5283
68,636,Sushil Kumar Paswan ,Bihar,Katihar,M,31,IND,1158042.0,60.83,0.51,3592
69,637,Prem Kumar ,Bihar,Katihar,M,25,SHS,1158042.0,60.83,0.5,3522
70,638,Binod Kumar Thakur ,Bihar,Katihar,M,36,IND,1158042.0,60.83,0.28,1972
71,639,Sunil Kumar Choudhary ,Bihar,Katihar,M,37,IND,1158042.0,60.83,0.27,1901
72,640,Pradeep Kumar Sah ,Bihar,Katihar,M,39,IND,1158042.0,60.83,0.26,1831
73,641,Mahmad Iqbal Qureshi ,Bihar,Katihar,M,29,IND,1158042.0,60.83,0.26,1831
74,778,Uday Singh ,Bihar,Purnea,M,44,BJP,1179491.0,60.11,34.47,244389
75,779,Rajesh Ranjan Alias Pappu Yadav ,Bihar,Purnea,M,37,LJNSP,1179491.0,60.11,32.66,231556
76,780,Jeevachha Paswan ,Bihar,Purnea,M,42,IND,1179491.0,60.11,8.04,57002
77,781,Dr. Irshad Ahmad Khan ,Bihar,Purnea,M,36,SP,1179491.0,60.11,6.67,47289
78,782,Raj Kumar Hembram ,Bihar,Purnea,M,27,JDP,1179491.0,60.11,3.61,25594
79,783,Awadesh Ku Mandal ,Bihar,Purnea,M,34,IND,1179491.0,60.11,3.05,21624
80,784,Satya Narayan Ram ,Bihar,Purnea,M,38,IND,1179491.0,60.11,2.59,18362
81,785,Neelam Devi ,Bihar,Purnea,F,41,IND,1179491.0,60.11,2.34,16590
82,786,Jai Krishna Mandal ,Bihar,Purnea,M,50,SAP,1179491.0,60.11,2.0,14179
83,787,Syed Sahid Raja ,Bihar,Purnea,M,44,BSP,1179491.0,60.11,1.12,7940
84,788,Madhavi Sarkar ,Bihar,Purnea,F,54,CPI(ML)(L),1179491.0,60.11,1.07,7586
85,789,Lalit Mohan Singh ,Bihar,Purnea,M,60,IND,1179491.0,60.11,0.95,6735
86,790,Md. Riauzuddin ,Bihar,Purnea,M,61,IND,1179491.0,60.11,0.57,4041
87,791,Prakash Kumar Singh ,Bihar,Purnea,M,32,AD,1179491.0,60.11,0.47,3332
88,792,Upendra Nath Sagar ,Bihar,Purnea,M,54,RLD,1179491.0,60.11,0.38,2694
89,900,Baliram Kashyap ,Chhattisgarh,Bastar,M,67,BJP,1039442.0,43.33,47.26,212854
90,901,Mahendra Karma ,Chhattisgarh,Bastar,M,50,INC,1039442.0,43.33,35.19,158492
91,902,Ramnath Sarfe ,Chhattisgarh,Bastar,M,45,CPI,1039442.0,43.33,6.8,30626
92,903,Dasi Bai ,Chhattisgarh,Bastar,F,49,IND,1039442.0,43.33,5.45,24546
93,904,Chandra Shekhar Dhruva (Shekhar) ,Chhattisgarh,Bastar,M,36,IND,1039442.0,43.33,1.66,7476
94,905,Laxminath Bharti ,Chhattisgarh,Bastar,M,56,BSP,1039442.0,43.33,1.52,6845
95,906,Shivram ,Chhattisgarh,Bastar,M,28,CPI(ML)(L),1039442.0,43.33,1.11,4999
96,907,Shkuntala Ate ,Chhattisgarh,Bastar,F,30,SP,1039442.0,43.33,1.0,4503
97,908,Punnu Lal Mohle ,Chhattisgarh,Bilaspur,M,52,BJP,1411674.0,44.02,52.26,324753
98,909,Dr. Basant Pahre ,Chhattisgarh,Bilaspur,M,43,INC,1411674.0,44.02,39.13,243161
99,910,Shekhar Kumar Banjare ,Chhattisgarh,Bilaspur,M,29,IND,1411674.0,44.02,2.51,15597
100,911,Engg.Rameshwar Khare ,Chhattisgarh,Bilaspur,M,40,BSP,1411674.0,44.02,2.48,15411
101,912,Dr. Bhagirathi Khute ,Chhattisgarh,Bilaspur,M,47,GGP,1411674.0,44.02,1.8,11185
102,913,Chotelal Sumer ,Chhattisgarh,Bilaspur,M,28,IND,1411674.0,44.02,1.16,7208
103,914,Ramlal ,Chhattisgarh,Bilaspur,M,43,SP,1411674.0,44.02,0.66,4101
104,915,Tarachand Sahu ,Chhattisgarh,Durg,M,57,BJP,1462883.0,52.08,50.24,382763
105,916,Bhupesh Baghel ,Chhattisgarh,Durg,M,42,INC,1462883.0,52.08,42.17,321280
106,917,Shri Mataji ,Chhattisgarh,Durg,M,39,BSP,1462883.0,52.08,2.35,17903
107,918,Manharan Singh Chhedaiha ,Chhattisgarh,Durg,M,34,IND,1462883.0,52.08,2.35,17903
108,919,Bharat Bhushan Pandey ,Chhattisgarh,Durg,M,42,IND,1462883.0,52.08,1.06,8075
109,920,Balvinder Singh ,Chhattisgarh,Durg,M,50,IND,1462883.0,52.08,0.45,3428
110,921,R. D. Jogansh ,Chhattisgarh,Durg,M,63,IND,1462883.0,52.08,0.29,2209
111,922,Kiran Noni Urf Kiran Beti ,Chhattisgarh,Durg,F,35,IJP,1462883.0,52.08,0.29,2209
112,923,Shiekh Rasool Alias Dada Bhai ,Chhattisgarh,Durg,M,36,SP,1462883.0,52.08,0.28,2133
113,924,Ashok Kumar Rajput ,Chhattisgarh,Durg,M,40,IND,1462883.0,52.08,0.26,1980
114,925,Arun Joshi ,Chhattisgarh,Durg,M,34,IND,1462883.0,52.08,0.24,1828
115,926,Karuna Shukla ,Chhattisgarh,Janjgir,F,52,BJP,1374418.0,52.22,42.31,303667
116,927,Dr. Charandas Mahant ,Chhattisgarh,Janjgir,M,48,INC,1374418.0,52.22,40.73,292327
117,928,Murtiramsahu ,Chhattisgarh,Janjgir,M,54,BSP,1374418.0,52.22,7.23,51891
118,929,Dr.Urmila Marko ,Chhattisgarh,Janjgir,F,41,GGP,1374418.0,52.22,3.19,22895
119,930,Hamid (Abdul Hamid Siddqie) ,Chhattisgarh,Janjgir,M,40,IND,1374418.0,52.22,1.87,13421
120,931,Dr. Vidyanand Tiwari ,Chhattisgarh,Janjgir,M,64,IND,1374418.0,52.22,1.01,7248
121,932,Badkuram Dhruw ,Chhattisgarh,Janjgir,M,28,IND,1374418.0,52.22,0.7,5024
122,933,Hemlata ,Chhattisgarh,Janjgir,F,25,YGP,1374418.0,52.22,0.58,4162
123,934,Pramod Kumar ,Chhattisgarh,Janjgir,M,47,IND,1374418.0,52.22,0.45,3229
124,935,Parsram Yadav ,Chhattisgarh,Janjgir,M,40,IND,1374418.0,52.22,0.35,2512
125,936,Sahasram Yadav ,Chhattisgarh,Janjgir,M,50,SP,1374418.0,52.22,0.32,2296
126,937,Shobha Lal Prajapti ,Chhattisgarh,Janjgir,M,48,LJNSP,1374418.0,52.22,0.28,2009
127,938,Ramdas Mahant ,Chhattisgarh,Janjgir,M,38,CSP,1374418.0,52.22,0.27,1937
128,939,Dhanraj Patel ,Chhattisgarh,Janjgir,M,35,AD,1374418.0,52.22,0.26,1866
129,940,Bhagwati Prasad Shukla Guruji ,Chhattisgarh,Janjgir,M,63,BPSGKD,1374418.0,52.22,0.24,1722
130,941,Kanchan ,Chhattisgarh,Janjgir,F,42,SAP,1374418.0,52.22,0.21,1507
131,942,Sohan Potai ,Chhattisgarh,Kanker,M,47,BJP,1152122.0,48.08,49.52,274311
132,943,Mrs. Ganga Potai Thakur ,Chhattisgarh,Kanker,F,54,INC,1152122.0,48.08,36.23,200692
133,944,G.R.Rana ,Chhattisgarh,Kanker,M,56,SP,1152122.0,48.08,5.22,28915
134,945,Arjun Singh Thakur ,Chhattisgarh,Kanker,M,38,BSP,1152122.0,48.08,3.18,17615
135,946,Sukhranjan Usendi ,Chhattisgarh,Kanker,M,27,CPI (M),1152122.0,48.08,2.98,16507
136,947,Sundarlal Netam ,Chhattisgarh,Kanker,M,29,CSP,1152122.0,48.08,2.88,15953
137,958,Vishnudeo Sai ,Chhattisgarh,Raigarh,M,39,BJP,1038545.0,62.44,50.75,329097
138,959,Rampukar Singh ,Chhattisgarh,Raigarh,M,63,INC,1038545.0,62.44,39.3,254847
139,960,Kripa Shankar Bhagat ,Chhattisgarh,Raigarh,M,29,BSP,1038545.0,62.44,4.26,27624
140,961,Govind Singh Neti ,Chhattisgarh,Raigarh,M,46,GGP,1038545.0,62.44,3.28,21269
141,962,Amrit Tirkey ,Chhattisgarh,Raigarh,M,28,SP,1038545.0,62.44,2.42,15692
142,963,Ramesh Bais ,Chhattisgarh,Raipur,M,54,BJP,1370242.0,50.32,54.54,376056
143,964,Shyamacharan Shukla ,Chhattisgarh,Raipur,M,77,INC,1370242.0,50.32,35.75,246498
144,965,Dr. Heeraman Banjare ,Chhattisgarh,Raipur,M,44,BSP,1370242.0,50.32,4.68,32268
145,966,Dr. Ramkumar Sirmor ,Chhattisgarh,Raipur,M,57,IND,1370242.0,50.32,2.08,14341
146,967,Radheshyam Sen ,Chhattisgarh,Raipur,M,34,IND,1370242.0,50.32,0.9,6205
147,968,Manmohan Singh Thakur (Girdhari Pandey) ,Chhattisgarh,Raipur,M,35,IND,1370242.0,50.32,0.43,2964
148,969,Balram Singh Yadav Alias Ballu Bhaiya ,Chhattisgarh,Raipur,M,34,SP,1370242.0,50.32,0.37,2551
149,970,Nanha Markandey ,Chhattisgarh,Raipur,M,35,IND,1370242.0,50.32,0.36,2482
150,971,Patrakar Bimal Kumar Sahu Sandi Bangla ,Chhattisgarh,Raipur,M,40,IND,1370242.0,50.32,0.23,1585
151,972,Kabeer Bhakt Aswant Das Sahu Karorpati Jeevan Bima Agent ,Chhattisgarh,Raipur,M,29,IND,1370242.0,50.32,0.2,1379
152,973,Prakash Golcha (Sarafa Sansad) ,Chhattisgarh,Raipur,M,45,IND,1370242.0,50.32,0.19,1310
153,974,Madhusudan Mishra Ji ,Chhattisgarh,Raipur,M,37,ABHM,1370242.0,50.32,0.14,965
154,975,Seedheram ,Chhattisgarh,Raipur,M,43,GGP,1370242.0,50.32,0.14,965
155,976,Pradeep Gandhi ,Chhattisgarh,Rajnandgaon,M,37,BJP,1121618.0,59.37,47.23,314506
156,977,Devvrat Singh ,Chhattisgarh,Rajnandgaon,M,33,INC,1121618.0,59.37,45.08,300189
157,978,Santram Gond (Chhediya) ,Chhattisgarh,Rajnandgaon,M,26,IND,1121618.0,59.37,3.07,20443
158,979,Mochi Ram Gond ,Chhattisgarh,Rajnandgaon,M,54,BSP,1121618.0,59.37,2.0,13318
159,980,Aaju Ram Chandravanshi ,Chhattisgarh,Rajnandgaon,M,62,IND,1121618.0,59.37,1.11,7391
160,981,Roman Kumar Sahu ,Chhattisgarh,Rajnandgaon,M,35,SP,1121618.0,59.37,0.79,5260
161,982,Smt. Pushpa Nagdev ,Chhattisgarh,Rajnandgaon,F,40,RPI(KH),1121618.0,59.37,0.72,4794
162,983,Guharam Ajgalle ,Chhattisgarh,Sarangarh,M,37,BJP,1191389.0,49.35,41.26,242588
163,984,Parasram Bhardwaj ,Chhattisgarh,Sarangarh,M,57,INC,1191389.0,49.35,31.21,183499
164,985,Dau Ram Ratnakar ,Chhattisgarh,Sarangarh,M,45,BSP,1191389.0,49.35,19.22,113004
165,986,Ramvilas Ratre ,Chhattisgarh,Sarangarh,M,61,IND,1191389.0,49.35,2.26,13287
166,987,Ramashankar ,Chhattisgarh,Sarangarh,M,34,IND,1191389.0,49.35,1.48,8701
167,988,Rohit Kumar Chauhan ,Chhattisgarh,Sarangarh,M,65,SP,1191389.0,49.35,1.21,7114
168,989,Dr. Govind Chouhan ,Chhattisgarh,Sarangarh,M,26,IND,1191389.0,49.35,1.2,7055
169,990,Saheblal Chauhan ,Chhattisgarh,Sarangarh,M,38,AD,1191389.0,49.35,0.63,3704
170,991,Karamchand Suryawanshi S/O Shri Ramu Suryawanshi ,Chhattisgarh,Sarangarh,M,35,IND,1191389.0,49.35,0.55,3233
171,992,Shiv Prasad ,Chhattisgarh,Sarangarh,M,51,JD(U),1191389.0,49.35,0.53,3116
172,993,Awadhram Behara ,Chhattisgarh,Sarangarh,M,31,IND,1191389.0,49.35,0.44,2586
173,994,Nand Kumar Sai ,Chhattisgarh,Surguja,M,65,BJP,1387483.0,48.77,52.77,357081
174,995,Khelsay Singh ,Chhattisgarh,Surguja,M,56,INC,1387483.0,48.77,37.48,253617
175,996,Ramlakhan ,Chhattisgarh,Surguja,M,60,IND,1387483.0,48.77,2.88,19488
176,997,Ramnarayan Singh Ayam ,Chhattisgarh,Surguja,M,35,BSP,1387483.0,48.77,2.4,16240
177,998,Dr. L. S. Uday ,Chhattisgarh,Surguja,M,34,GGP,1387483.0,48.77,1.65,11165
178,999,Pravin Kumar ,Chhattisgarh,Surguja,M,27,IND,1387483.0,48.77,1.1,7443
179,1000,Bernadate ,Chhattisgarh,Surguja,F,55,JMM,1387483.0,48.77,0.87,5887
180,1001,Nirmala ,Chhattisgarh,Surguja,F,35,SP,1387483.0,48.77,0.84,5684
181,1024,Shripad Yesso Naik ,Goa,Panaji,M,50,BJP,425663.0,59.86,56.84,144829
182,1025,D'souza Wilfred ,Goa,Panaji,M,76,NCP,425663.0,59.86,34.78,88620
183,1026,Christopher Oswald Fonseca ,Goa,Panaji,M,50,CPI,425663.0,59.86,3.13,7975
184,1027,Paresh Atmaram Raikar ,Goa,Panaji,M,47,MAG,425663.0,59.86,2.11,5376
185,1028,Sameer Anant Bandodkar ,Goa,Panaji,M,37,SHS,425663.0,59.86,1.58,4025
186,1029,Adv. Ramesh Sakharam Naik ,Goa,Panaji,M,49,IND,425663.0,59.86,1.0,2548
187,1030,Bhonsle Dhuma Rajaram ,Goa,Panaji,M,60,IND,425663.0,59.86,0.56,1426
188,1031,Harin Pathak ,Gujarat,Ahmedabad,M,56,BJP,1382793.0,39.67,55.03,301869
189,1032,Gupta Rajkumar Gigraj ,Gujarat,Ahmedabad,M,54,INC,1382793.0,39.67,40.88,224248
190,1033,Dr. Rathod Mangalam Virambhai ,Gujarat,Ahmedabad,M,61,BSP,1382793.0,39.67,1.44,7899
191,1034,Shaikh Samsuddin Nashiruddin (Jugnu) ,Gujarat,Ahmedabad,M,40,IND,1382793.0,39.67,0.99,5430
192,1035,"Ambalal Mafatlal Chauhan (Arjunsinh Chauhan, Ips Retd.) ",Gujarat,Ahmedabad,M,55,JD(U),1382793.0,39.67,0.5,2742
193,1036,Nayak Sanjude Kalade Pavaiya ,Gujarat,Ahmedabad,M,28,IND,1382793.0,39.67,0.34,1865
194,1037,Dr. Pravinchandra Jayantilal Shukla ,Gujarat,Ahmedabad,M,65,IND,1382793.0,39.67,0.24,1316
195,1038,Farmer Jayanand Davidbhai ,Gujarat,Ahmedabad,M,54,IND,1382793.0,39.67,0.23,1261
196,1039,Minaxi Chandubhai Khetani (Nita C. Khetani) ,Gujarat,Ahmedabad,F,33,SP,1382793.0,39.67,0.22,1206
197,1040,Ujainwala Noormohammad Daudji (Noorbhai Chhipa) ,Gujarat,Ahmedabad,M,63,IND,1382793.0,39.67,0.16,877
198,1060,Jayaben Thakkar ,Gujarat,Baroda,F,52,BJP,1656867.0,39.38,48.45,316123
199,1061,Gaekwad Satyajitsinh Duleepsinh ,Gujarat,Baroda,M,42,INC,1656867.0,39.38,47.44,309533
200,1062,Kalodia Shardaben Surendrasinh ,Gujarat,Baroda,F,28,BSP,1656867.0,39.38,1.34,8743
201,1063,Prem Jayprakash Biharilal ,Gujarat,Baroda,M,53,IND,1656867.0,39.38,1.22,7960
202,1064,Tapanbhai Dasgupta ,Gujarat,Baroda,M,39,IND,1656867.0,39.38,0.8,5219
203,1065,Dr. Hashmukh Shivabhai Patel (Ayurvedacharya) ,Gujarat,Baroda,M,60,ABHM,1656867.0,39.38,0.75,4893
204,1066,Rana Rajendrasinh Ghanashyamsinh (Rajubhai Rana) ,Gujarat,Bhavnagar,M,48,BJP,1236416.0,35.98,55.6,247343
205,1067,Gigabhai Bhavubhai Gohil (Gigabhai Gohil) ,Gujarat,Bhavnagar,M,73,INC,1236416.0,35.98,37.52,166912
206,1068,Kherala Dilipkumar Manajibhai ,Gujarat,Bhavnagar,M,28,IND,1236416.0,35.98,2.82,12545
207,1069,Makwana Meghjibhai Mavjibhai ,Gujarat,Bhavnagar,M,59,SP,1236416.0,35.98,2.27,10098
208,1070,Goswami Dhirajgiri Baldevgiri ,Gujarat,Bhavnagar,M,47,BSP,1236416.0,35.98,1.79,7963
209,1071,Vasava Mansukhbhai Dhanjibhai ,Gujarat,Broach,M,47,BJP,1239670.0,54.92,44.01,299631
210,1072,Patel Muhammad Fansiwala ,Gujarat,Broach,M,66,INC,1239670.0,54.92,33.41,227464
211,1073,Vasava Chhotubhai Amarsinh ,Gujarat,Broach,M,55,JD(U),1239670.0,54.92,16.39,111587
212,1074,Vasava Sureshbhai Gordhanbhai ,Gujarat,Broach,M,32,IND,1239670.0,54.92,3.29,22399
213,1075,Patel Jineshbhai Ramanbhai ,Gujarat,Broach,M,31,IND,1239670.0,54.92,1.47,10008
214,1076,Saiyad Faimuddin Hamiduddin ,Gujarat,Broach,M,31,BSP,1239670.0,54.92,1.44,9803
215,1089,Varma Ratilal Kalidas ,Gujarat,Dhandhuka,M,55,BJP,1156178.0,44.68,48.27,249353
216,1090,Yogendrakumar Mavjibhai Makwana ,Gujarat,Dhandhuka,M,70,INC,1156178.0,44.68,43.85,226520
217,1091,Chavda Manilal Ramjibhai ,Gujarat,Dhandhuka,M,37,BSP,1156178.0,44.68,2.25,11623
218,1092,Soyantar Dineshkumar Kalidas (Advocate) ,Gujarat,Dhandhuka,M,28,IND,1156178.0,44.68,2.25,11623
219,1093,Parmar Chhabildas Keshavlal ,Gujarat,Dhandhuka,M,64,LJNSP,1156178.0,44.68,1.38,7128
220,1094,Jayaben Maganbhai Ranva ,Gujarat,Dhandhuka,F,55,IND,1156178.0,44.68,1.1,5682
221,1095,Chauhan Jitendrakumar Naranbhai ,Gujarat,Dhandhuka,M,38,IND,1156178.0,44.68,0.89,4597
222,1096,Katara Babubhai Khimabhai ,Gujarat,Dohad,M,43,BJP,1212453.0,42.71,44.06,228159
223,1097,Taviyad Dr. Prabhabahen Kishorsinh ,Gujarat,Dohad,F,52,INC,1212453.0,42.71,43.99,227797
224,1098,Somjibhai Damor ,Gujarat,Dohad,M,62,BNP,1212453.0,42.71,8.81,45621
225,1099,Katara Sigjibhai Jaljibhai ,Gujarat,Dohad,M,57,CPI (M),1212453.0,42.71,3.15,16311
226,1100,L. K. Advani ,Gujarat,Gandhinagar,M,76,BJP,2126829.0,39.76,61.04,516170
227,1101,Gabhaji Mangaji Thakor ,Gujarat,Gandhinagar,M,71,INC,2126829.0,39.76,35.36,299013
228,1102,Sunil Shah ,Gujarat,Gandhinagar,M,58,IND,2126829.0,39.76,0.99,8371
229,1103,Vitthalbhai Pandya ,Gujarat,Gandhinagar,M,76,IND,2126829.0,39.76,0.99,8371
230,1104,L. N. Medipally (Advocate) ,Gujarat,Gandhinagar,M,52,BSP,2126829.0,39.76,0.79,6680
231,1105,Brahmbhatt Sanjaybhai Amarkumar ,Gujarat,Gandhinagar,M,33,IND,2126829.0,39.76,0.15,1268
232,1106,Nizami Mahammad Aslam Mahammad Salim (Aslam Nizami) ,Gujarat,Gandhinagar,M,57,SP,2126829.0,39.76,0.13,1099
233,1107,Patel Dipakkumar Gopaldas (Catpain) ,Gujarat,Gandhinagar,M,39,ABJS,2126829.0,39.76,0.12,1014
234,1108,Arunbhai Swarupji Maru ,Gujarat,Gandhinagar,M,32,IND,2126829.0,39.76,0.09,761
235,1109,Imran Gulamnabi Ajmeri (Naik Soniyade Aashikde Pavaiya) ,Gujarat,Gandhinagar,M,28,IND,2126829.0,39.76,0.09,761
236,1110,Parmar Jivraj Mansukhbhai(Amin Jitendrakumar Mansukhbhai) ,Gujarat,Gandhinagar,M,30,IND,2126829.0,39.76,0.09,761
237,1111,Khodabhai Laljibhai Desai ,Gujarat,Gandhinagar,M,35,IND,2126829.0,39.76,0.08,676
238,1112,Dudhatra Mukundbhai Govindbhai ,Gujarat,Gandhinagar,M,36,IND,2126829.0,39.76,0.08,676
239,1113,Solanki Bhupendrasinh Prabhatsinh ,Gujarat,Godhra,M,50,BJP,1143516.0,46.99,55.0,295535
240,1114,Patel Rajendrasinh Balvantsinh ,Gujarat,Godhra,M,48,INC,1143516.0,46.99,45.0,241802
241,1140,Gadhavi Pushpadan Shambhudan ,Gujarat,Kutch,M,63,BJP,1006563.0,45.6,48.16,221050
242,1141,Shailendrasinh Jadeja ,Gujarat,Kutch,M,46,INC,1006563.0,45.6,41.84,192042
243,1142,Sheda Dhanraj Jakhu ,Gujarat,Kutch,M,43,IND,1006563.0,45.6,4.43,20333
244,1143,Patel Taraben Shambhulal ,Gujarat,Kutch,F,40,IND,1006563.0,45.6,2.01,9225
