,Sl. No.,Candidate Name,State,Constituency,Gender,Age,Party,Total Electors,Turn Out(%),Candidate Votes(%),Count Of Votes
0,1,Shri. Bishnu Pada Ray ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,59,BJP,265110,64.16,44.21,75198
1,2,Shri. Kuldeep Rai Sharma ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,41,INC,265110,64.16,42.46,72222
2,3,Shri Tapan Kumar Bepari ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,51,CPI (M),265110,64.16,4.23,7195
3,4,Shri. P. R. Ganeshan ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,71,RJD,265110,64.16,2.89,4915
4,5,Smti. R. S. Uma Bharathy ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,F,44,NCP,265110,64.16,2.76,4694
5,6,Shri. Pradeep Kumar Ekka ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,37,JDP,265110,64.16,1.05,1785
6,7,Shri. Vakiath Valappil Khalid ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,40,IND,265110,64.16,0.87,1479
7,8,Shri. M. S. Mohan ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,50,BSP,265110,64.16,0.46,782
8,9,Shri. N. K. P. Nair ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,54,CPI(ML)(L),265110,64.16,0.43,731
9,10,Dr. Thankachan ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,50,IND,265110,64.16,0.4,680
10,11,Shri. T. Ali ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,37,IND,265110,64.16,0.23,391
11,68,Battula Rosayya ,Andhra Pradesh,Bapatla,M,52,BJP,1321644,78.96,1.38,14401
12,69,Dara Sambaiah ,Andhra Pradesh,Bapatla,M,62,BSP,1321644,78.96,0.86,8974
13,70,Gudipalli Sathya Babuji ,Andhra Pradesh,Bapatla,M,40,IND,1321644,78.96,0.62,6470
14,73,Garikapati Sudhakar ,Andhra Pradesh,Bapatla,M,37,RDMP,1321644,78.96,0.38,3965
15,74,Golla Babu Rao ,Andhra Pradesh,Bapatla,M,34,IND,1321644,78.96,0.16,1669
16,629,Bijoya Chakravarty ,Assam,Gauhati,F,70,BJP,1723692,64.33,44.74,496099
17,630,Capt. Robin Bordoloi ,Assam,Gauhati,M,67,INC,1723692,64.33,43.67,484235
18,631,Sonabor Ali ,Assam,Gauhati,M,58,AUDF,1723692,64.33,6.61,73295
19,632,Akshay Rajkhowa ,Assam,Gauhati,M,49,NCP,1723692,64.33,1.0,11088
20,633,Rina Gayary Das ,Assam,Gauhati,F,41,IND,1723692,64.33,1.0,11088
21,634,Ambu Bora ,Assam,Gauhati,M,79,RCPI(R),1723692,64.33,0.7,7761
22,635,Brijesh Roy ,Assam,Gauhati,M,30,IND,1723692,64.33,0.55,6098
23,636,Deva Kanta Ramchiary ,Assam,Gauhati,M,46,IND,1723692,64.33,0.41,4546
24,637,Kazi Nekib Ahmed ,Assam,Gauhati,M,51,IND,1723692,64.33,0.35,3880
25,638,Amit Barua ,Assam,Gauhati,M,42,IND,1723692,64.33,0.33,3659
26,639,Deepak Kalita ,Assam,Gauhati,M,34,SP,1723692,64.33,0.33,3659
27,640,Shimanta Brahma ,Assam,Gauhati,M,48,RWS,1723692,64.33,0.31,3437
28,690,Ramen Deka ,Assam,Mangaldoi,M,55,BJP,1416682,69.78,31.15,307936
