,Sl. No.,Candidate Name,State,Constituency,Gender,Age,Party,Total Electors,Turn Out(%),Candidate Votes(%),Count Of Votes
29,691,Madhab Rajbangshi ,Assam,Mangaldoi,M,53,INC,1416682,69.78,25.5,252082
30,692,Badiuj Zamal ,Assam,Mangaldoi,M,33,AUDF,1416682,69.78,18.25,180412
31,693,Dina Nath Das ,Assam,Mangaldoi,M,65,BPF,1416682,69.78,16.31,161234
32,694,Prodeep Kumar Daimary ,Assam,Mangaldoi,M,42,IND,1416682,69.78,3.8,37565
33,695,Manoj Kumar Deka ,Assam,Mangaldoi,M,55,IND,1416682,69.78,1.25,12357
34,696,Lucymai Basumatari ,Assam,Mangaldoi,F,58,RSPS,1416682,69.78,0.84,8303
35,697,Aroon Barooa ,Assam,Mangaldoi,M,53,IND,1416682,69.78,0.62,6129
36,698,Parbin Sultana ,Assam,Mangaldoi,F,42,AIMF,1416682,69.78,0.56,5535
37,699,Bhupendra Nath Kakati ,Assam,Mangaldoi,M,62,IND,1416682,69.78,0.52,5140
38,700,Rabindra Nath Hazarika ,Assam,Mangaldoi,M,72,JMM,1416682,69.78,0.5,4942
39,701,Lankeswar Acharjya ,Assam,Mangaldoi,M,45,RDMP,1416682,69.78,0.38,3756
40,702,Ratul Kumar Choudhury ,Assam,Mangaldoi,M,38,SP,1416682,69.78,0.33,3262
41,703,Rajen Gohain ,Assam,Nowgong,M,57,BJP,1411331,70.81,38.11,380857
42,704,Anil Raja ,Assam,Nowgong,M,51,INC,1411331,70.81,33.57,335486
43,705,Siraj Uddin Ajmal ,Assam,Nowgong,M,52,AUDF,1411331,70.81,24.53,245143
44,706,Heramba Mohan Pandit ,Assam,Nowgong,M,45,IND,1411331,70.81,0.97,9693
45,707,Bimala Prasad Talukdar ,Assam,Nowgong,M,46,IND,1411331,70.81,0.59,5896
46,708,Pheiroijam Ibomcha Singh ,Assam,Nowgong,M,60,AIFB,1411331,70.81,0.43,4297
47,709,Ashit Dutta ,Assam,Nowgong,M,47,IND,1411331,70.81,0.37,3697
48,710,Puspa Kanta Bora ,Assam,Nowgong,M,49,IND,1411331,70.81,0.27,2698
49,711,Liaqat Hussain ,Assam,Nowgong,M,40,LJP,1411331,70.81,0.25,2498
50,712,Bhupen Chandra Mudoi ,Assam,Nowgong,M,55,RPI(A),1411331,70.81,0.24,2398
51,713,Biren Das ,Assam,Nowgong,M,48,RWS,1411331,70.81,0.23,2298
52,714,Nazrul Haque Mazarbhuiyan ,Assam,Nowgong,M,55,IND,1411331,70.81,0.23,2298
53,715,Bipin Saikia ,Assam,Nowgong,M,55,RDMP,1411331,70.81,0.21,2098
54,716,Kabindra Purkayastha ,Assam,Silchar,M,74,BJP,978510,70.37,35.37,243549
55,717,Badruddin Ajmal ,Assam,Silchar,M,54,AUDF,978510,70.37,29.35,202097
56,718,Sontosh Mohan Dev ,Assam,Silchar,M,75,INC,978510,70.37,28.65,197277
57,719,Dipak Bhattacharjee ,Assam,Silchar,M,69,CPI (M),978510,70.37,1.72,11843
58,720,Manish Bhattacharjee ,Assam,Silchar,M,62,IND,978510,70.37,1.03,7092
59,721,Sumit Roy ,Assam,Silchar,M,33,IND,978510,70.37,0.86,5921
60,722,Kantimoy Deb ,Assam,Silchar,M,60,IND,978510,70.37,0.6,4131
61,723,Nagendra Chandra Das ,Assam,Silchar,M,28,IND,978510,70.37,0.48,3305
62,724,Yogendra Kumar Singh ,Assam,Silchar,M,40,IND,978510,70.37,0.35,2410
63,725,Subir Deb ,Assam,Silchar,M,41,IND,978510,70.37,0.34,2341
64,726,Pijush Kanti Das ,Assam,Silchar,M,38,IND,978510,70.37,0.25,1721
65,727,Nabadwip Das ,Assam,Silchar,M,58,IND,978510,70.37,0.22,1514
66,728,Joy Sundar Das ,Assam,Silchar,M,38,IND,978510,70.37,0.21,1446
67,729,Chandan Rabidas ,Assam,Silchar,M,34,IND,978510,70.37,0.21,1446
68,730,Nazrul Haque Mazarbhuiyan ,Assam,Silchar,M,36,IND,978510,70.37,0.19,1308
69,731,Jayanta Mallick ,Assam,Silchar,M,36,IND,978510,70.37,0.17,1170
70,747,Pradeep Kumar Singh ,Bihar,Araria,M,43,BJP,1311225,55.71,38.71,282770
71,748,Zakir Hussain Khan ,Bihar,Araria,M,44,LJP,1311225,55.71,35.63,260271
72,749,Dr. Shakeel Ahmad Khan ,Bihar,Araria,M,44,INC,1311225,55.71,6.8,49672
73,750,Dinesh Rathour ,Bihar,Araria,M,33,IND,1311225,55.71,3.74,27320
74,751,Prince Victor ,Bihar,Araria,M,39,IND,1311225,55.71,3.05,22279
75,752,Raja Raman Bhaskar ,Bihar,Araria,M,30,BSP,1311225,55.71,1.45,10592
76,753,Laxmi Sada ,Bihar,Araria,M,52,IND,1311225,55.71,1.3,9496
77,754,Sukdeo Paswan ,Bihar,Araria,M,56,IND,1311225,55.71,1.23,8984
78,755,Mohammed Saifur Rab ,Bihar,Araria,M,41,IND,1311225,55.71,0.95,6939
79,756,Pramod Singh Yadav ,Bihar,Araria,M,46,IND,1311225,55.71,0.81,5916
80,757,Abdul Wahab ,Bihar,Araria,M,48,IND,1311225,55.71,0.61,4455
81,758,Satya Narayan Writer ,Bihar,Araria,M,35,IND,1311225,55.71,0.57,4163
82,759,Ayajudin ,Bihar,Araria,M,39,RKJP,1311225,55.71,0.57,4163
83,760,Vijay Sah ,Bihar,Araria,M,32,IND,1311225,55.71,0.56,4090
84,761,Sadhana Devi ,Bihar,Araria,F,34,IND,1311225,55.71,0.5,3652
85,762,Nitya Nand Bishwas ,Bihar,Araria,M,46,IND,1311225,55.71,0.48,3506
86,763,Abdul Gafoor ,Bihar,Araria,M,48,IND,1311225,55.71,0.43,3141
87,764,Nasim Ahmad Ghazi ,Bihar,Araria,M,45,RJJM,1311225,55.71,0.42,3068
88,765,Sada Nand Choudhary ,Bihar,Araria,M,50,IND,1311225,55.71,0.38,2775
89,766,Kanhaiya Kumar Das ,Bihar,Araria,M,27,IND,1311225,55.71,0.38,2775
90,767,Nand Lal Paswan ,Bihar,Araria,M,47,IND,1311225,55.71,0.37,2702
91,768,Kamali Devi ,Bihar,Araria,F,65,CPI(ML)(L),1311225,55.71,0.32,2337
92,769,Om Prakash ,Bihar,Araria,M,37,IND,1311225,55.71,0.27,1972
93,770,Sanjay Kumar Jha ,Bihar,Araria,M,38,IND,1311225,55.71,0.26,1899
94,771,Md. Sajjad ,Bihar,Araria,M,56,IND,1311225,55.71,0.22,1607
95,839,Syed Shahnawaz Hussain ,Bihar,Bhagalpur,M,40,BJP,1433346,43.89,36.3,228361
96,840,Shakuni Choudhary ,Bihar,Bhagalpur,M,64,RJD,1433346,43.89,27.43,172560
97,841,Ajit Sharma ,Bihar,Bhagalpur,M,55,BSP,1433346,43.89,8.8,55360
98,842,Sadanand Singh ,Bihar,Bhagalpur,M,64,INC,1433346,43.89,8.29,52152
99,843,Ratan Kumar Mandal ,Bihar,Bhagalpur,M,25,IND,1433346,43.89,3.49,21955
100,844,Subodh Roy ,Bihar,Bhagalpur,M,65,CPI (M),1433346,43.89,2.72,17111
101,845,Dinesh Yadav ,Bihar,Bhagalpur,M,30,IND,1433346,43.89,2.5,15727
102,846,Dr. N. K. Yadav ,Bihar,Bhagalpur,M,44,IND,1433346,43.89,1.4,8807
103,847,Ram Vilash Paswan ,Bihar,Bhagalpur,M,45,RWS,1433346,43.89,1.1,6920
104,848,Sikandar Tanti ,Bihar,Bhagalpur,M,34,IND,1433346,43.89,1.04,6542
105,849,Daya Ram Mandal ,Bihar,Bhagalpur,M,33,BHJAP,1433346,43.89,1.03,6479
106,850,Naresh Mandal ,Bihar,Bhagalpur,M,48,RPP,1433346,43.89,0.95,5976
107,851,Indradeo Kumar Singh ,Bihar,Bhagalpur,M,30,IND,1433346,43.89,0.83,5221
108,852,Raman Sah ,Bihar,Bhagalpur,M,44,BJJD,1433346,43.89,0.69,4340
109,853,Srinarayan Gauswami ,Bihar,Bhagalpur,M,59,IJP,1433346,43.89,0.66,4152
110,854,Anand Kumar Jain ,Bihar,Bhagalpur,M,47,IND,1433346,43.89,0.57,3585
111,855,Md. Izrail ,Bihar,Bhagalpur,M,49,LTSD,1433346,43.89,0.54,3397
112,856,Amit Kumar Jha ,Bihar,Bhagalpur,M,50,IND,1433346,43.89,0.54,3397
113,857,Ravi Shankar Singh ,Bihar,Bhagalpur,M,25,IND,1433346,43.89,0.42,2642
114,858,Deepak Ram ,Bihar,Bhagalpur,M,40,BSP(K),1433346,43.89,0.38,2390
115,859,Laddu ,Bihar,Bhagalpur,M,27,IND,1433346,43.89,0.3,1887
116,882,Kirti Azad ,Bihar,Darbhanga,M,48,BJP,1312244,41.59,43.85,239316
117,883,Md. Ali Ashraf Fatmi ,Bihar,Darbhanga,M,53,RJD,1312244,41.59,35.33,192817
118,884,Ajay Kumar Jalan ,Bihar,Darbhanga,M,49,INC,1312244,41.59,7.46,40713
119,885,Prof. Hareram Acharay ,Bihar,Darbhanga,M,49,IND,1312244,41.59,2.38,12989
120,886,Satyanarayan Mukhia ,Bihar,Darbhanga,M,41,CPI(ML)(L),1312244,41.59,2.23,12170
121,887,Lalbahadur Yadav ,Bihar,Darbhanga,M,35,IND,1312244,41.59,1.95,10642
122,888,Yugeshwar Sahni ,Bihar,Darbhanga,M,55,BSP,1312244,41.59,1.69,9223
123,889,Bharat Yadav ,Bihar,Darbhanga,M,54,IND,1312244,41.59,1.23,6712
124,890,Abdur Rahim ,Bihar,Darbhanga,M,49,IND,1312244,41.59,0.9,4911
125,891,Govind Acharay ,Bihar,Darbhanga,M,27,IND,1312244,41.59,0.69,3765
126,892,Md. Nizamuddin ,Bihar,Darbhanga,M,36,IJP,1312244,41.59,0.65,3547
127,893,Md. Khurshid Alam ,Bihar,Darbhanga,M,46,AD,1312244,41.59,0.58,3165
128,894,Durganand Mahavir Nayak ,Bihar,Darbhanga,M,37,BJJD,1312244,41.59,0.57,3110
129,895,Kumari Sureshwari ,Bihar,Darbhanga,F,60,RMEP,1312244,41.59,0.5,2728
130,896,Hari Manjhi ,Bihar,Gaya,M,47,BJP,1329231,42.44,43.65,246240
131,897,Ramji Manjhi ,Bihar,Gaya,M,49,RJD,1329231,42.44,32.58,183792
132,898,Sanjiv Prasad Toni ,Bihar,Gaya,M,52,INC,1329231,42.44,11.5,64874
133,899,Kalawati Devi ,Bihar,Gaya,F,27,BSP,1329231,42.44,4.05,22847
134,900,Niranjan Kumar ,Bihar,Gaya,M,35,CPI(ML)(L),1329231,42.44,1.19,6713
135,901,Shyam Lal Manjhi ,Bihar,Gaya,M,50,IND,1329231,42.44,1.1,6205
136,902,Dilip Paswan ,Bihar,Gaya,M,41,NBNP,1329231,42.44,1.07,6036
137,903,Rajesh Kumar ,Bihar,Gaya,M,27,LTSD,1329231,42.44,0.82,4625
138,904,Ram Kishore Paswan ,Bihar,Gaya,M,36,IND,1329231,42.44,0.77,4343
139,905,Shiv Shankar Kumar ,Bihar,Gaya,M,33,IND,1329231,42.44,0.61,3441
140,906,Ramu Paswan ,Bihar,Gaya,M,29,IND,1329231,42.44,0.54,3046
141,907,Kail Das ,Bihar,Gaya,M,66,IND,1329231,42.44,0.51,2877
142,908,Amar Nath Prasad ,Bihar,Gaya,M,35,IND,1329231,42.44,0.45,2538
143,909,Dipak Paswan ,Bihar,Gaya,M,27,IND,1329231,42.44,0.42,2369
144,910,Ramdev Arya Paan ,Bihar,Gaya,M,67,ABJS,1329231,42.44,0.38,2143
145,911,Krishna Choudhary ,Bihar,Gaya,M,26,IND,1329231,42.44,0.36,2030
146,1010,Nikhil Kumar Choudhary ,Bihar,Katihar,M,63,BJP,1272769,56.95,37.23,269858
147,1011,Shah Tariq Anwar ,Bihar,Katihar,M,58,NCP,1272769,56.95,35.3,255869
148,1012,Ahmad Ashfaque Karim ,Bihar,Katihar,M,53,LJP,1272769,56.95,6.32,45810
149,1013,Himraj Singh ,Bihar,Katihar,M,49,IND,1272769,56.95,5.8,42040
150,1014,Mahboob Alam ,Bihar,Katihar,M,52,CPI(ML)(L),1272769,56.95,4.42,32038
151,1015,Mohammad Hamid Mubarak ,Bihar,Katihar,M,33,IND,1272769,56.95,3.3,23919
152,1016,Madan Mohan Nishad ,Bihar,Katihar,M,62,BSP,1272769,56.95,2.17,15729
153,1017,Sunil Kumar Choudhary ,Bihar,Katihar,M,39,IND,1272769,56.95,1.1,7973
154,1018,Om Prakash Poddar ,Bihar,Katihar,M,38,BJJD,1272769,56.95,0.7,5073
155,1019,Chandu Murmu ,Bihar,Katihar,M,43,IND,1272769,56.95,0.67,4856
156,1020,Manoj Parasar ,Bihar,Katihar,M,44,IND,1272769,56.95,0.57,4131
157,1021,Rajesh Gurnani ,Bihar,Katihar,M,38,LTSD,1272769,56.95,0.55,3986
158,1022,Babu Lal Marandi ,Bihar,Katihar,M,33,IND,1272769,56.95,0.48,3479
159,1023,Rajgiri Singh ,Bihar,Katihar,M,53,IND,1272769,56.95,0.47,3406
160,1024,Munni Devi ,Bihar,Katihar,F,35,ABJS,1272769,56.95,0.46,3334
161,1025,Phoolo Devi ,Bihar,Katihar,F,40,IND,1272769,56.95,0.45,3261
162,1076,Hukm Deo Narayan Yadav ,Bihar,Madhubani,M,72,BJP,1397256,39.83,29.48,164064
163,1077,Abdulbari Siddiki ,Bihar,Madhubani,M,62,RJD,1397256,39.83,27.7,154157
164,1078,Dr Shakeel Ahamad ,Bihar,Madhubani,M,52,INC,1397256,39.83,20.02,111416
165,1079,Dr Hemchandra Jha ,Bihar,Madhubani,M,48,CPI,1397256,39.83,9.77,54372
166,1080,"Haribhushan Thakur ""Bachol"" ",Bihar,Madhubani,M,44,IND,1397256,39.83,5.4,30052
167,1081,Laxmankant Mishra ,Bihar,Madhubani,M,48,BSP,1397256,39.83,2.09,11631
168,1082,Sanjay Kumar Mahto ,Bihar,Madhubani,M,36,IND,1397256,39.83,0.89,4953
169,1083,Mintu Kumar Singh ,Bihar,Madhubani,M,30,JGP,1397256,39.83,0.79,4396
170,1084,Ravindra Thakur ,Bihar,Madhubani,M,40,IND,1397256,39.83,0.78,4340
171,1085,Rajeshwar Yadav ,Bihar,Madhubani,M,37,IND,1397256,39.83,0.73,4062
172,1086,Ramchandra Yadav ,Bihar,Madhubani,M,65,KSVP,1397256,39.83,0.72,4006
173,1087,Ram Sagar Sahani ,Bihar,Madhubani,M,51,IJP,1397256,39.83,0.58,3227
174,1088,Mishri Lal Yadav ,Bihar,Madhubani,M,39,RKJP,1397256,39.83,0.54,3005
175,1089,Md Zinnur ,Bihar,Madhubani,M,47,IND,1397256,39.83,0.51,2838
176,1172,Bhola Singh ,Bihar,Nawada,M,70,BJP,1397512,41.62,22.46,130637
177,1173,Veena Devi ,Bihar,Nawada,F,36,LJP,1397512,41.62,16.45,95680
178,1174,Rajballabh Prasad ,Bihar,Nawada,M,46,IND,1397512,41.62,13.51,78580
179,1175,Kaushal Yadav ,Bihar,Nawada,M,39,IND,1397512,41.62,10.21,59385
180,1176,Masih Uddin ,Bihar,Nawada,M,36,BSP,1397512,41.62,8.0,46531
181,1177,Anil Mehta ,Bihar,Nawada,M,36,IND,1397512,41.62,6.57,38214
182,1178,Akhilesh Singh ,Bihar,Nawada,M,38,IND,1397512,41.62,4.95,28791
183,1179,Sunila Devi ,Bihar,Nawada,F,38,INC,1397512,41.62,3.35,19485
184,1180,Ganesh Shankar Vidyarthi ,Bihar,Nawada,M,85,CPI (M),1397512,41.62,2.55,14831
185,1181,Raj Kishor Raj ,Bihar,Nawada,M,43,IND,1397512,41.62,1.71,9946
186,1182,Sunil Kumar ,Bihar,Nawada,M,28,IND,1397512,41.62,1.22,7096
187,1183,Durga Prasad Dhar ,Bihar,Nawada,M,29,IND,1397512,41.62,1.21,7037
188,1184,Chanchala Devi ,Bihar,Nawada,F,33,IND,1397512,41.62,1.11,6456
189,1185,Shambhu Prasad ,Bihar,Nawada,M,41,IND,1397512,41.62,1.03,5990
190,1186,Navin Kumar Verma ,Bihar,Nawada,M,38,IND,1397512,41.62,1.02,5932
191,1187,Rajendra Vishal ,Bihar,Nawada,M,44,IND,1397512,41.62,1.0,5816
192,1188,Umakant Rahi ,Bihar,Nawada,M,37,SSD,1397512,41.62,1.0,5816
193,1189,Vidhyapati Singh ,Bihar,Nawada,M,46,LTSD,1397512,41.62,0.77,4478
194,1190,Kailash Pal ,Bihar,Nawada,M,48,BSKP,1397512,41.62,0.77,4478
195,1191,Surendra Kumar Chaudhary ,Bihar,Nawada,M,45,SBSP,1397512,41.62,0.56,3257
196,1192,Rajendra Singh ,Bihar,Nawada,M,60,IND,1397512,41.62,0.54,3140
197,1193,Dr. Sanjay Jaiswal ,Bihar,Paschim Champaran,M,44,BJP,1221153,42.21,38.56,198757
198,1194,Prakash Jha ,Bihar,Paschim Champaran,M,55,LJP,1221153,42.21,29.38,151438
199,1195,Anirudh Prasad Alias Sadhu Yadav ,Bihar,Paschim Champaran,M,46,INC,1221153,42.21,13.58,69997
200,1196,Ramashray Singh ,Bihar,Paschim Champaran,M,65,CPI (M),1221153,42.21,4.55,23452
201,1197,Shambhu Prasad Gupta ,Bihar,Paschim Champaran,M,50,BSP,1221153,42.21,4.31,22215
202,1198,Syed Shamim Akhtar ,Bihar,Paschim Champaran,M,48,LTSD,1221153,42.21,2.03,10463
203,1199,Shriman Mishra ,Bihar,Paschim Champaran,M,41,IND,1221153,42.21,1.89,9741
204,1200,Faiyazul Azam ,Bihar,Paschim Champaran,M,71,JD(S),1221153,42.21,1.82,9381
205,1201,Syed Irshad Akhter ,Bihar,Paschim Champaran,M,32,IND,1221153,42.21,1.57,8092
206,1202,Manoj Kumar ,Bihar,Paschim Champaran,M,44,RDMP,1221153,42.21,1.25,6443
207,1203,Nafis Ahamad ,Bihar,Paschim Champaran,M,35,IND,1221153,42.21,1.07,5515
208,1220,Shatrughan Sinha ,Bihar,Patna Sahib,M,62,BJP,1641976,33.64,57.3,316502
209,1221,Vijay Kumar ,Bihar,Patna Sahib,M,52,RJD,1641976,33.64,27.11,149744
210,1222,Shekhar Suman ,Bihar,Patna Sahib,M,52,INC,1641976,33.64,11.1,61312
211,1223,Ram Narayan Rai ,Bihar,Patna Sahib,M,60,CPI(ML)(L),1641976,33.64,0.99,5468
212,1224,Hemant Kumar Singh ,Bihar,Patna Sahib,M,52,IND,1641976,33.64,0.83,4584
213,1225,Sanjay Verma ,Bihar,Patna Sahib,M,42,IND,1641976,33.64,0.45,2485
214,1226,On Masumi ,Bihar,Patna Sahib,M,37,LTSD,1641976,33.64,0.33,1822
215,1227,Hassan Faizi Hashmi ,Bihar,Patna Sahib,M,40,ANC,1641976,33.64,0.26,1436
216,1228,Pankaj Kumar Sharma ,Bihar,Patna Sahib,M,36,IND,1641976,33.64,0.26,1436
217,1229,Dr. Diwaker Tejaswi ,Bihar,Patna Sahib,M,40,BUDM,1641976,33.64,0.23,1270
218,1230,Ram Bhajan Singh Nishad ,Bihar,Patna Sahib,M,40,IND,1641976,33.64,0.23,1270
219,1231,Vidhan Chandra Rana ,Bihar,Patna Sahib,M,33,IND,1641976,33.64,0.22,1215
220,1232,Kumar Rajiv ,Bihar,Patna Sahib,M,38,IND,1641976,33.64,0.2,1104
221,1233,Deepak Kumar Singh ,Bihar,Patna Sahib,M,31,IND,1641976,33.64,0.19,1049
222,1234,Pramod Kumar Gupta ,Bihar,Patna Sahib,M,41,IND,1641976,33.64,0.16,883
223,1235,Anjani Kumar ,Bihar,Patna Sahib,M,34,IND,1641976,33.64,0.14,773
224,1236,Uday Singh Alias Pappu Singh ,Bihar,Purnia,M,57,BJP,1305396,53.99,51.5,362963
225,1237,Shanti Priya ,Bihar,Purnia,F,49,IND,1305396,53.99,25.08,176759
226,1238,Shankar Jha ,Bihar,Purnia,M,48,LJP,1305396,53.99,3.23,22764
227,1239,Pramod Narayan Poddar ,Bihar,Purnia,M,52,IND,1305396,53.99,3.09,21777
228,1240,Naveen Kumar Singh ,Bihar,Purnia,M,39,BSP,1305396,53.99,3.02,21284
229,1241,Vijay Kumar Sah ,Bihar,Purnia,M,52,IND,1305396,53.99,2.69,18958
230,1242,Upendra Nath Sagar ,Bihar,Purnia,M,60,IND,1305396,53.99,1.96,13813
231,1243,Shiekh Akbar Ali ,Bihar,Purnia,M,26,IND,1305396,53.99,1.28,9021
232,1244,Irshad Ahmad Khan ,Bihar,Purnia,M,49,LTSD,1305396,53.99,1.06,7470
233,1245,Sunil Kumar ,Bihar,Purnia,M,30,IND,1305396,53.99,0.9,6343
234,1246,Jivachh Paswan ,Bihar,Purnia,M,39,IND,1305396,53.99,0.81,5708
235,1247,Deep Narayan Singh ,Bihar,Purnia,M,75,IND,1305396,53.99,0.78,5497
236,1248,Alimuddin Ansari ,Bihar,Purnia,M,54,IND,1305396,53.99,0.74,5215
237,1249,Madhavi Sarkar ,Bihar,Purnia,F,50,CPI(ML)(L),1305396,53.99,0.73,5144
238,1250,Jagdish Prasad Yadav ,Bihar,Purnia,M,63,IND,1305396,53.99,0.66,4651
239,1251,Abdul Sattar ,Bihar,Purnia,M,57,IND,1305396,53.99,0.62,4369
240,1252,Ashok Kumar Sah ,Bihar,Purnia,M,55,JMM,1305396,53.99,0.51,3594
241,1253,Kaushalya Devi ,Bihar,Purnia,F,39,IND,1305396,53.99,0.51,3594
242,1254,Md. Aisur Rahman ,Bihar,Purnia,M,43,IND,1305396,53.99,0.42,2960
243,1255,Anil Kumar Bharti ,Bihar,Purnia,M,33,RVNP,1305396,53.99,0.41,2889
244,1256,Radha Mohan Singh ,Bihar,Purvi Champaran,M,59,BJP,1189028,40.53,41.74,201150
245,1257,Akhilesh Pd. Singh ,Bihar,Purvi Champaran,M,40,RJD,1189028,40.53,25.28,121827
246,1258,Arvind Kr. Gupta ,Bihar,Purvi Champaran,M,29,INC,1189028,40.53,14.18,68335
247,1259,Suresh Kr. Rai ,Bihar,Purvi Champaran,M,41,BJKVP,1189028,40.53,6.45,31083
248,1260,Ramchandra Pd. ,Bihar,Purvi Champaran,M,51,CPI,1189028,40.53,4.3,20722
249,1261,Gagandeo Yadav ,Bihar,Purvi Champaran,M,59,BSP,1189028,40.53,2.31,11132
250,1262,Md. Murtaza Ansari(Dr. Lal) ,Bihar,Purvi Champaran,M,40,IND,1189028,40.53,2.01,9686
251,1263,Umesh Kr. Singh ,Bihar,Purvi Champaran,M,43,SJP(R),1189028,40.53,1.28,6168
252,1264,Jhagaru Mahato ,Bihar,Purvi Champaran,M,48,IND,1189028,40.53,0.76,3662
253,1265,Nagendra Sahani ,Bihar,Purvi Champaran,M,33,LTSD,1189028,40.53,0.7,3373
254,1266,Suresh Kr. Rajak ,Bihar,Purvi Champaran,M,45,IJP,1189028,40.53,0.5,2409
255,1267,Parasnath Pandey ,Bihar,Purvi Champaran,M,48,IND,1189028,40.53,0.5,2409
256,1307,Rama Devi ,Bihar,Sheohar,F,60,BJP,1269015,45.1,40.8,233508
257,1308,Md. Anwarul Haque ,Bihar,Sheohar,M,58,BSP,1269015,45.1,18.84,107826
258,1309,Sitaram Singh ,Bihar,Sheohar,M,60,RJD,1269015,45.1,15.65,89568
259,1310,Lovely Anand ,Bihar,Sheohar,M,35,INC,1269015,45.1,14.24,81499
260,1311,Md. Tanveer Zafer ,Bihar,Sheohar,M,33,CPI,1269015,45.1,2.95,16883
261,1312,Sunil Singh ,Bihar,Sheohar,M,44,IND,1269015,45.1,1.75,10015
262,1313,Yogendra Ram ,Bihar,Sheohar,M,38,IND,1269015,45.1,1.28,7325
263,1314,"Ram Ashish, Mahto ",Bihar,Sheohar,M,64,IND,1269015,45.1,1.0,5723
264,1315,Mohsin ,Bihar,Sheohar,M,29,IND,1269015,45.1,0.65,3720
265,1316,Arun Sah ,Bihar,Sheohar,M,30,BLPGL,1269015,45.1,0.59,3376
266,1317,Shatrughana Sahu ,Bihar,Sheohar,M,38,BJJD,1269015,45.1,0.56,3205
267,1318,Basdeo Sah ,Bihar,Sheohar,M,36,IJP,1269015,45.1,0.51,2918
268,1319,Mohammad Firoz Ahamad ,Bihar,Sheohar,M,28,IND,1269015,45.1,0.46,2632
269,1320,Chandrika Sah ,Bihar,Sheohar,M,34,IND,1269015,45.1,0.4,2289
